DATE,CLOSE,X0,X1,X2,X3,X4,X5,,
40983,2714.79,2637.18,2646.85,2646.85,2697.43,2708.41,2714.79,,
40984,2712.78,2646.85,2646.85,2697.43,2708.41,2714.79,2712.78,,
40987,2733.26,2646.85,2697.43,2708.41,2714.79,2712.78,2733.26,,
40988,2737.63,2697.43,2708.41,2714.79,2712.78,2733.26,2737.63,,
40989,2736.88,2708.41,2714.79,2712.78,2733.26,2737.63,2736.88,,
40990,2731.5,2714.79,2712.78,2733.26,2737.63,2736.88,2731.5,,
40991,2728.55,2712.78,2733.26,2737.63,2736.88,2731.5,2728.55,,
40994,2778.02,2733.26,2737.63,2736.88,2731.5,2728.55,2778.02,,
40995,2782.12,2737.63,2736.88,2731.5,2728.55,2778.02,2782.12,,
40996,2770.97,2736.88,2731.5,2728.55,2778.02,2782.12,2770.97,,
40997,2762.05,2731.5,2728.55,2778.02,2782.12,2770.97,2762.05,,
40998,2755.27,2728.55,2778.02,2782.12,2770.97,2762.05,2755.27,,
41001,2784.42,2778.02,2782.12,2770.97,2762.05,2755.27,2784.42,,
41002,2782.78,2782.12,2770.97,2762.05,2755.27,2784.42,2782.78,,
41003,2745,2770.97,2762.05,2755.27,2784.42,2782.78,2745,,
41004,2762.5,2762.05,2755.27,2784.42,2782.78,2745,2762.5,,
41008,2739.98,2755.27,2784.42,2782.78,2745,2762.5,2739.98,,
41009,2695.12,2784.42,2782.78,2745,2762.5,2739.98,2695.12,,
41010,2708.13,2782.78,2745,2762.5,2739.98,2695.12,2708.13,,
41011,2740.26,2745,2762.5,2739.98,2695.12,2708.13,2740.26,,
41012,2698.99,2762.5,2739.98,2695.12,2708.13,2740.26,2698.99,,
41015,2670.1,2739.98,2695.12,2708.13,2740.26,2698.99,2670.1,,
41016,2723.58,2695.12,2708.13,2740.26,2698.99,2670.1,2723.58,,
41017,2716.14,2708.13,2740.26,2698.99,2670.1,2723.58,2716.14,,
41018,2686.82,2740.26,2698.99,2670.1,2723.58,2716.14,2686.82,,
41019,2676.04,2698.99,2670.1,2723.58,2716.14,2686.82,2676.04,,
